event_time,event_phase
2019-09-04T09:54:14Z,1
2019-09-04T09:55:07Z,1
2019-09-04T09:56:12Z,1
2019-09-04T09:57:06Z,1
2019-09-04T09:58:07Z,1
2019-09-04T09:59:03Z,1
2019-09-04T09:59:56Z,1
2019-09-04T10:01:39Z,1
2019-09-04T10:02:33Z,1
2019-09-04T10:04:02Z,1
2019-09-04T10:05:13Z,1
2019-09-04T10:05:35Z,2
2019-09-04T10:06:52Z,1
2019-09-04T10:08:25Z,1
2019-09-04T10:09:58Z,1
2019-09-04T10:11:07Z,1
2019-09-04T10:11:58Z,1
2019-09-04T10:13:03Z,1
2019-09-04T10:14:43Z,1
2019-09-04T10:15:45Z,1
2019-09-04T10:17:19Z,1
2019-09-04T10:18:26Z,1
2019-09-04T10:18:46Z,2
2019-09-04T10:19:26Z,1
2019-09-04T10:20:18Z,1
2019-09-04T10:21:17Z,1
2019-09-04T10:22:27Z,1
2019-09-04T10:23:43Z,1
2019-09-04T10:24:40Z,1
2019-09-04T10:25:35Z,1
2019-09-04T10:26:12Z,1
2019-09-04T10:27:22Z,1
2019-09-04T10:28:09Z,1
2019-09-04T10:28:36Z,3
2019-09-04T10:29:24Z,3
2019-09-04T10:31:20Z,1
2019-09-04T10:33:35Z,1
2019-09-04T10:35:36Z,3
2019-09-04T10:35:46Z,1
2019-09-04T10:36:51Z,1
2019-09-04T10:37:19Z,1
2019-09-04T10:37:47Z,1
2019-09-04T10:38:48Z,1
2019-09-04T10:39:21Z,3
2019-09-04T10:40:01Z,1
2019-09-04T10:40:37Z,3
2019-09-04T10:41:21Z,1
2019-09-04T10:42:06Z,3
2019-09-04T10:42:52Z,1
2019-09-04T10:43:04Z,2
2019-09-04T10:43:25Z,3
2019-09-04T10:43:52Z,3
2019-09-04T10:44:23Z,1
2019-09-04T10:45:06Z,3
2019-09-04T10:46:04Z,1
2019-09-04T10:47:15Z,1
2019-09-04T10:47:43Z,3
2019-09-04T10:48:42Z,1
2019-09-04T10:49:09Z,3
2019-09-04T10:50:03Z,1
2019-09-04T10:50:54Z,1
2019-09-04T10:54:15Z,1
2019-09-04T10:54:15Z,3
2019-09-04T10:54:50Z,1
2019-09-04T10:56:05Z,3
2019-09-04T10:56:44Z,1
2019-09-04T10:57:02Z,3
2019-09-04T10:57:34Z,1
2019-09-04T10:58:59Z,1
2019-09-04T11:00:12Z,1
2019-09-04T11:01:42Z,1
2019-09-04T11:01:53Z,3
2019-09-04T11:03:01Z,3
2019-09-04T11:03:04Z,1
2019-09-04T11:04:03Z,1
2019-09-04T11:05:13Z,1
2019-09-04T11:05:29Z,3
2019-09-04T11:06:30Z,1
2019-09-04T11:07:54Z,3
2019-09-04T11:09:09Z,1
2019-09-04T11:09:20Z,3
2019-09-04T11:09:52Z,1
2019-09-04T11:10:52Z,3
2019-09-04T11:11:49Z,1
2019-09-04T11:13:07Z,1
2019-09-04T11:14:16Z,3
2019-09-04T11:15:11Z,1
2019-09-04T11:16:17Z,1
2019-09-04T11:17:39Z,1
2019-09-04T11:18:31Z,3
2019-09-04T11:19:36Z,3
2019-09-04T11:20:51Z,2
2019-09-04T11:21:17Z,3
2019-09-04T11:22:02Z,3
2019-09-04T11:24:02Z,3
2019-09-04T11:26:34Z,3
2019-09-04T11:27:55Z,2
2019-09-04T11:37:30Z,3
2019-09-04T11:43:02Z,3
2019-09-04T11:45:00Z,3
2019-09-04T11:50:50Z,3
2019-09-04T11:52:16Z,3
2019-09-04T11:53:01Z,3
2019-09-04T11:53:42Z,3
2019-09-04T11:58:08Z,2
2019-09-04T12:02:11Z,3
2019-09-04T12:02:43Z,3
2019-09-04T12:05:06Z,3
2019-09-04T12:10:52Z,3
2019-09-04T12:17:23Z,3
2019-09-04T12:19:07Z,3
2019-09-04T12:19:35Z,3
2019-09-04T12:20:30Z,3
2019-09-04T12:27:14Z,3
2019-09-04T12:28:11Z,3
2019-09-04T12:35:36Z,2
2019-09-04T12:36:46Z,3
2019-09-04T12:40:53Z,3
2019-09-04T12:43:29Z,2
2019-09-04T12:48:49Z,3
2019-09-04T12:49:19Z,1
2019-09-04T12:51:36Z,3
2019-09-04T12:52:29Z,3
2019-09-04T12:55:54Z,3
2019-09-04T13:05:58Z,3
2019-09-04T13:11:10Z,3
2019-09-04T13:12:57Z,3
2019-09-04T13:13:12Z,2
2019-09-04T13:15:04Z,3
2019-09-04T13:17:22Z,3
2019-09-04T13:18:35Z,3
2019-09-04T13:25:44Z,3
2019-09-04T13:29:55Z,3
2019-09-04T13:30:53Z,3
2019-09-04T13:34:05Z,3
2019-09-04T13:36:45Z,3
2019-09-04T13:42:18Z,3
2019-09-04T13:50:58Z,3
2019-09-04T13:51:11Z,2
2019-09-04T13:52:21Z,3
2019-09-04T13:53:05Z,3
2019-09-04T13:53:47Z,3
2019-09-04T13:55:16Z,3
2019-09-04T13:56:42Z,3
2019-09-04T13:57:42Z,3
2019-09-04T13:59:37Z,3
2019-09-04T14:00:40Z,3
2019-09-04T14:01:59Z,3
2019-09-04T14:02:39Z,3
2019-09-04T14:05:47Z,3
2019-09-04T14:08:03Z,3
2019-09-04T14:11:19Z,3
2019-09-04T14:12:14Z,3
2019-09-04T14:13:14Z,3
2019-09-04T14:19:03Z,3
2019-09-04T14:28:51Z,2
2019-09-04T14:29:26Z,1
2019-09-04T14:38:51Z,1
2019-09-04T14:44:37Z,1
2019-09-04T14:46:13Z,1
2019-09-04T14:58:45Z,2
2019-09-04T15:02:55Z,1
2019-09-04T15:06:30Z,2
2019-09-04T15:07:46Z,1
2019-09-04T15:25:16Z,3
2019-09-04T15:44:12Z,2
2019-09-04T16:05:20Z,3
2019-09-04T16:06:12Z,3
2019-09-04T16:07:52Z,1
2019-09-04T16:10:22Z,1
2019-09-04T16:14:43Z,3
2019-09-04T16:15:46Z,3
2019-09-04T16:16:29Z,1
2019-09-04T16:17:21Z,3
2019-09-04T16:18:35Z,1
2019-09-04T16:19:44Z,1
2019-09-04T16:22:02Z,2
2019-09-04T16:23:21Z,3
2019-09-04T16:23:28Z,1
2019-09-04T16:24:18Z,3
2019-09-04T16:24:33Z,1
2019-09-04T16:26:14Z,1
2019-09-04T16:28:01Z,1
2019-09-04T16:29:50Z,3
2019-09-04T16:31:43Z,3
2019-09-04T16:35:09Z,3
2019-09-04T16:35:41Z,3
2019-09-04T16:39:03Z,3
2019-09-04T16:49:49Z,3
2019-09-04T16:50:12Z,1
2019-09-04T16:51:57Z,3
2019-09-04T16:52:59Z,3
2019-09-04T16:56:07Z,1
2019-09-04T16:57:01Z,1
2019-09-04T16:57:28Z,2
2019-09-04T16:58:42Z,1
2019-09-04T16:59:33Z,1
2019-09-04T17:06:13Z,2
2019-09-04T17:10:15Z,3
2019-09-04T17:13:48Z,3
2019-09-04T17:16:18Z,3
2019-09-04T17:18:30Z,3
2019-09-04T17:19:29Z,3
2019-09-04T17:24:30Z,3
2019-09-04T17:27:08Z,3
2019-09-04T17:27:43Z,3
2019-09-04T17:34:26Z,2
2019-09-04T17:34:55Z,3
2019-09-04T17:35:03Z,1
2019-09-04T17:37:35Z,3
2019-09-04T17:38:00Z,3
2019-09-04T17:40:31Z,3
2019-09-04T17:43:31Z,3
2019-09-04T17:45:23Z,3
2019-09-04T17:45:33Z,1
2019-09-04T17:48:48Z,3
2019-09-04T17:50:30Z,3
2019-09-04T17:51:18Z,3
2019-09-04T17:52:46Z,1
2019-09-04T17:53:20Z,3
2019-09-04T17:54:49Z,3
2019-09-04T17:56:55Z,3
2019-09-04T18:00:36Z,3
2019-09-04T18:02:39Z,3
2019-09-04T18:05:25Z,3
2019-09-04T18:11:16Z,3
2019-09-04T18:12:00Z,3
2019-09-04T18:12:25Z,3
2019-09-04T18:12:25Z,2
2019-09-04T18:14:36Z,3
2019-09-04T18:16:37Z,3
2019-09-04T18:18:14Z,3
2019-09-04T18:19:19Z,1
2019-09-04T18:21:05Z,1
2019-09-04T18:23:04Z,1
2019-09-04T18:24:27Z,1
2019-09-04T18:25:24Z,2
2019-09-04T18:25:45Z,3
2019-09-04T18:26:56Z,2
2019-09-04T18:28:39Z,3
2019-09-04T18:32:43Z,3
2019-09-04T18:50:08Z,2
2019-09-04T18:58:40Z,2
2019-09-04T19:09:18Z,3
2019-09-04T19:18:28Z,1
2019-09-04T19:21:07Z,2
2019-09-04T19:24:38Z,1
2019-09-04T19:27:21Z,2
2019-09-04T19:35:26Z,1
2019-09-04T19:37:20Z,2
2019-09-04T19:37:24Z,1
2019-09-04T20:05:03Z,2
2019-09-04T20:15:19Z,1
2019-09-04T20:20:04Z,2
2019-09-04T20:22:07Z,1
2019-09-04T20:23:32Z,1
2019-09-04T20:24:30Z,1
2019-09-04T20:30:19Z,2
2019-09-04T20:31:18Z,2
2019-09-04T20:31:18Z,1
2019-09-04T20:31:32Z,3
2019-09-04T20:31:57Z,1
2019-09-04T20:31:57Z,3
2019-09-04T20:34:24Z,2
2019-09-04T20:34:32Z,1
2019-09-04T20:38:03Z,1
2019-09-04T20:38:31Z,1
2019-09-04T20:39:42Z,2
2019-09-04T20:40:21Z,1
2019-09-04T20:41:09Z,1
2019-09-04T20:49:46Z,1
2019-09-04T20:54:01Z,1
2019-09-04T20:54:18Z,2
2019-09-04T20:54:18Z,3
2019-09-04T20:56:15Z,2
2019-09-04T21:07:42Z,1
2019-09-04T21:17:30Z,2
2019-09-04T21:35:46Z,1
2019-09-04T21:37:04Z,1
2019-09-04T21:37:36Z,1
2019-09-04T21:37:49Z,3
2019-09-04T21:38:21Z,1
2019-09-04T21:39:36Z,1
2019-09-04T21:40:19Z,1
2019-09-04T21:42:35Z,1
2019-09-04T21:44:52Z,1
2019-09-04T21:46:03Z,1
2019-09-04T21:46:20Z,3
2019-09-04T21:46:34Z,1
2019-09-04T21:47:51Z,1
2019-09-04T21:54:36Z,2
2019-09-04T21:59:10Z,1
2019-09-04T22:12:24Z,2
2019-09-04T22:12:28Z,3
2019-09-04T22:13:16Z,1
2019-09-04T22:15:36Z,1
2019-09-04T22:31:39Z,2
2019-09-04T22:33:53Z,2
2019-09-04T23:08:45Z,2
2019-09-04T23:11:42Z,3
2019-09-04T23:46:24Z,3
2019-09-04T23:46:24Z,2
2019-09-04T23:47:15Z,3
2019-09-04T23:51:18Z,3
2019-09-04T23:53:17Z,3
2019-09-04T23:54:51Z,3
2019-09-04T23:55:38Z,3
2019-09-04T23:59:26Z,3
2019-09-05T00:04:29Z,3
2019-09-05T00:05:49Z,3
2019-09-05T00:14:33Z,3
2019-09-05T00:20:55Z,3
2019-09-05T00:23:17Z,3
2019-09-05T00:23:37Z,2
2019-09-05T00:36:23Z,3
2019-09-05T00:39:01Z,3
2019-09-05T00:41:45Z,3
2019-09-05T00:49:25Z,3
2019-09-05T00:58:02Z,3
2019-09-05T01:00:02Z,2
2019-09-05T01:00:54Z,2
2019-09-05T01:10:29Z,3
2019-09-05T01:16:01Z,3
2019-09-05T01:17:34Z,3
2019-09-05T01:19:30Z,3
2019-09-05T01:24:13Z,3
2019-09-05T01:26:32Z,3
2019-09-05T01:30:42Z,1
2019-09-05T01:32:52Z,3
2019-09-05T01:36:30Z,3
2019-09-05T01:38:23Z,2
2019-09-05T01:39:26Z,3
2019-09-05T01:40:29Z,3
2019-09-05T01:42:30Z,3
2019-09-05T01:44:11Z,3
2019-09-05T01:45:47Z,3
2019-09-05T01:50:13Z,3
2019-09-05T01:52:00Z,3
2019-09-05T01:52:25Z,3
2019-09-05T01:53:38Z,3
2019-09-05T01:59:22Z,3
2019-09-05T02:07:31Z,3
2019-09-05T02:08:30Z,3
2019-09-05T02:15:11Z,1
2019-09-05T02:16:08Z,2
2019-09-05T02:16:13Z,3
2019-09-05T02:19:51Z,3
2019-09-05T02:20:41Z,3
2019-09-05T02:21:58Z,3
2019-09-05T02:22:37Z,3
2019-09-05T02:23:06Z,3
2019-09-05T02:23:35Z,3
2019-09-05T02:24:51Z,3
2019-09-05T02:26:42Z,3
2019-09-05T02:37:31Z,3
2019-09-05T02:40:35Z,3
2019-09-05T02:42:12Z,3
2019-09-05T02:43:17Z,3
2019-09-05T02:46:05Z,3
2019-09-05T02:50:55Z,3
2019-09-05T02:53:29Z,2
2019-09-05T02:57:37Z,3
2019-09-05T02:59:38Z,3
2019-09-05T03:00:43Z,3
2019-09-05T03:01:28Z,3
2019-09-05T03:06:05Z,3
2019-09-05T03:08:16Z,3
2019-09-05T03:16:55Z,3
2019-09-05T03:18:09Z,3
2019-09-05T03:20:07Z,3
2019-09-05T03:22:57Z,3
2019-09-05T03:23:41Z,3
2019-09-05T03:25:34Z,3
2019-09-05T03:31:03Z,2
2019-09-05T03:34:12Z,3
2019-09-05T03:37:23Z,1
2019-09-05T03:39:17Z,3
2019-09-05T03:42:04Z,3
2019-09-05T03:42:53Z,3
2019-09-05T03:45:16Z,2
2019-09-05T03:45:43Z,3
2019-09-05T03:48:32Z,3
2019-09-05T03:53:25Z,3
2019-09-05T04:08:24Z,2
2019-09-05T04:19:46Z,3
2019-09-05T04:28:11Z,3
2019-09-05T04:29:15Z,3
2019-09-05T04:30:12Z,3
2019-09-05T04:30:55Z,3
2019-09-05T04:34:10Z,3
2019-09-05T04:39:28Z,3
2019-09-05T04:40:18Z,3
2019-09-05T04:41:22Z,3
2019-09-05T04:43:12Z,3
2019-09-05T04:46:16Z,2
2019-09-05T04:49:01Z,1
2019-09-05T04:54:09Z,2
2019-09-05T04:58:24Z,3
2019-09-05T04:58:39Z,2
2019-09-05T04:59:18Z,3
2019-09-05T05:00:53Z,3
2019-09-05T05:03:29Z,3
2019-09-05T05:04:33Z,3
2019-09-05T05:08:21Z,3
2019-09-05T05:09:32Z,3
2019-09-05T05:19:16Z,3
2019-09-05T05:23:11Z,3
2019-09-05T05:24:04Z,2
2019-09-05T05:26:55Z,3
2019-09-05T05:44:17Z,3
2019-09-05T06:01:44Z,3
2019-09-05T06:01:48Z,2
2019-09-05T06:10:25Z,3
2019-09-05T06:14:50Z,2
2019-09-05T06:17:08Z,3
2019-09-05T06:19:28Z,3
2019-09-05T06:24:14Z,3
2019-09-05T06:27:17Z,3
2019-09-05T06:30:50Z,3
2019-09-05T06:39:34Z,2
2019-09-05T06:44:59Z,3
2019-09-05T06:53:39Z,3
2019-09-05T06:54:25Z,3
2019-09-05T07:02:20Z,3
